,CYCLE_ACTIVITY.STALLS_L3_MISS,EXE_ACTIVITY.2_PORTS_UTIL,OFFCORE_REQUESTS.DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,cycles,instructions,timestamp,cumulative_instructions,interval_seconds,Actual_Slowdown,Local_Interval_Time,P,AOL,K_pred,AOL_Pred,ML_Pred,Heuristic_Pred
0,170224700.7966428,87082298.21528721,4914163.29024773,211507427.74773014,1115228526.527452,1037362680.7854564,583626341.834,0.48068257341943177,583626341.834,0.48068257341943177,0.30834059888269316,0.36739865278959377,0.1640937195347671,43.04037437410179,2.0489765719456345,0.3362241869301555,0.31103914001680716,0.01634760614583921
1,159371238.9822608,86646867.3294993,4833128.154512937,200005673.89059496,1087520562.5370998,1021017800.0033689,583626341.834,0.9483216724525885,583626341.834,0.4676390990331567,0.3034755792603951,0.35876322232174057,0.15609055883426806,41.38224096206501,2.020725484571733,0.31541617013744894,0.31103914001680716,0.016465030402249028
2,156777273.01987052,86286150.61757606,4824624.105939118,197815271.5851823,1085889552.123249,1017666568.666003,583626341.8339999,1.4144077470583303,583626341.8339999,0.4660860746057418,0.30270576783616965,0.35778307436215906,0.1540556385038572,41.00117796569301,2.0140263248563754,0.31027211143932587,0.2732031346924376,0.016481086279355087
3,157069143.76774192,86307556.32262653,4867270.167640787,197934118.1461166,1098798892.2662787,1017830272.0321593,583626341.8340001,1.880594180046227,583626341.8340001,0.46618643298789664,0.30272276949672994,0.3578554423885556,0.15431761864789492,40.66635122538456,2.008073887182958,0.30988118033909573,0.2732031346924376,0.01662340435087814
4,156156181.77528214,86290160.66570234,4778203.990185302,196862758.95810294,1079986918.1071215,1020369725.5026641,583626341.8340001,2.3478943204174016,583626341.8340001,0.46730014037117473,0.3066655243146293,0.35762797110322664,0.15303882296032942,41.20015791759206,2.0175343412731315,0.3087610808704836,0.2723084960486174,0.016329592599551565
5,156347185.34233522,86292069.34332627,4812477.075312521,196938969.54391205,1088413502.9461765,1023412543.8676538,583626341.8339996,2.8165877587863566,583626341.8339996,0.46869343836895494,0.31334900444902075,0.3568689181483655,0.15277044069781678,40.922578219476065,2.012634600168281,0.3074710748313826,0.2723084960486174,0.016481703288243794
6,157160146.1573516,86381625.21038306,4831785.85553861,198258836.57617903,1092975536.324873,1026116008.3115969,583626341.8340001,3.286494479993699,583626341.8340001,0.4699067212073422,0.317491755663308,0.35666767491137863,0.1531602127677043,41.03220682864445,2.0145747970605035,0.30855270455424144,0.2723084960486174,0.01655716853767558
7,156577185.8591373,86384495.56927538,4813327.164199829,197585150.79098606,1088450956.3420048,1023657740.3767214,583626341.8340001,3.7553866813733925,583626341.8340001,0.4688922013796937,0.3118947998995752,0.35741600730149026,0.1529585326063324,41.04959917550769,2.014881995380683,0.30819339338834834,0.2723084960486174,0.016459382008218615
8,156711681.16692543,86373361.76284409,4807645.518441565,197704948.15052438,1085822870.7146626,1023505561.8481731,583626341.8339996,4.224119244359177,583626341.8339996,0.4687325629857848,0.3153855437766795,0.35634614140579624,0.15311268156075936,41.12302943138202,2.0161771474267005,0.30870228954402457,0.2723084960486174,0.01648931140827491
9,156924905.5540924,86385017.3547113,4839424.550945386,198044932.1690104,1095211551.816801,1023998507.9145756,583626341.8340006,4.693087298705824,583626341.8340006,0.46896805434664657,0.3148484591433835,0.35667080193574296,0.15324720137891398,40.92323996048707,2.0126463315424137,0.30843241767441276,0.2723084960486174,0.016583198803832667
